// Compost colors for mmorpg. You may add your own colors, change existing ones, or remove colors that aren't needed.
buff_potion/common_arcane, #fe7fe0
buff_potion/common_crit, #ffe198
buff_potion/common_dex, #8ef29d
buff_potion/common_int, #8eeddd
buff_potion/common_might, #ff9a9d
buff_potion/common_str, #ffa870
buff_potion/epic_arcane, #fe7fe0
buff_potion/epic_crit, #ffe198
buff_potion/epic_dex, #8ef29d
buff_potion/epic_int, #8eeddd
buff_potion/epic_might, #ff9a9d
buff_potion/epic_str, #ffa870
buff_potion/legendary_arcane, #fe7fe0
buff_potion/legendary_crit, #ffe198
buff_potion/legendary_dex, #8ef29d
buff_potion/legendary_int, #8eeddd
buff_potion/legendary_might, #ff9a9d
buff_potion/legendary_str, #ffa870
buff_potion/mythic_arcane, #fe7fe0
buff_potion/mythic_crit, #ffe198
buff_potion/mythic_dex, #8ef29d
buff_potion/mythic_int, #8eeddd
buff_potion/mythic_might, #ff9a9d
buff_potion/mythic_str, #ffa870
buff_potion/rare_arcane, #fe7fe0
buff_potion/rare_crit, #ffe198
buff_potion/rare_dex, #8ef29d
buff_potion/rare_int, #8eeddd
buff_potion/rare_might, #ff9a9d
buff_potion/rare_str, #ffa870
buff_potion/uncommon_arcane, #fe7fe0
buff_potion/uncommon_crit, #ffe198
buff_potion/uncommon_dex, #8ef29d
buff_potion/uncommon_int, #8eeddd
buff_potion/uncommon_might, #ff9a9d
buff_potion/uncommon_str, #ffa870
coin/prophecy, #c587d0
common_soul_produce, #ccf2c9
currency/affix_common_reroll, #3675aa
currency/affix_number_reroll, #62dc94
currency/affix_random_mythic_reroll, #8de77c
currency/affix_tier_up_down, #a2a1af
currency/chaos_orb, #b65a32
currency/enchant_reroll, #5193f8
currency/entangled_affix_upgrade, #cd54d0
currency/entangled_potential, #e437d6
currency/entangled_quality, #a566c8
currency/entangled_unique_reroll, #e050a7
currency/extract_gem, #a533b8
currency/extract_rune, #4abc37
currency/force_soul_tag_armor_stat, #e6e6e6
currency/force_soul_tag_dodge_stat, #e7d3cc
currency/force_soul_tag_magic_shield_stat, #f4f4f2
currency/harvest_essence_0, #a0a0a0
currency/harvest_essence_1, #55b63d
currency/harvest_essence_2, #3d98b5
currency/harvest_essence_3, #b53d94
currency/harvest_essence_4, #b8653e
currency/jewel_corrupt, #b541af
currency/jewel_sure_upgrade, #bba4ed
currency/jewel_upgrade_affix, #e791d7
currency/level_up_orb, #aa555e
currency/map_rarity_upgrade, #d74a32
currency/orb_of_quality, #5fc8a8
currency/orb_of_relief, #91ee72
currency/sharpening_stone_0, #9b8270
currency/sharpening_stone_1, #988073
currency/sharpening_stone_2, #b29d89
currency/sharpening_stone_3, #ae9783
currency/sharpening_stone_4, #9a989a
currency/sharpening_stone_5, #abacb4
currency/socket_adder, #986952
currency/unique_reroll, #dc9a62
currency/up_corrupt_affix, #d64d2c
currency/upgrade_common_affix, #55afa5
destroy_output_exp, #7d9a62
enchantment/family/armor/common, #dcc0a7
enchantment/family/armor/epic, #ebb2b6
enchantment/family/armor/legendary, #ebc09d
enchantment/family/armor/mythic, #e1aac5
enchantment/family/armor/rare, #c5c6b5
enchantment/family/armor/uncommon, #c5cc96
enchantment/family/jewelry/common, #e1c6ac
enchantment/family/jewelry/epic, #ebbcb5
enchantment/family/jewelry/legendary, #ebc6a5
enchantment/family/jewelry/mythic, #e6b6bf
enchantment/family/jewelry/rare, #d2c9b5
enchantment/family/jewelry/uncommon, #d2cda1
enchantment/family/offhand/common, #ddc3aa
enchantment/family/offhand/epic, #ebb6b6
enchantment/family/offhand/legendary, #ebc2a0
enchantment/family/offhand/mythic, #e3aec3
enchantment/family/offhand/rare, #cac8b5
enchantment/family/offhand/uncommon, #cacc9b
enchantment/family/weapon/common, #e0c5ab
enchantment/family/weapon/epic, #ebb9b6
enchantment/family/weapon/legendary, #ebc3a2
enchantment/family/weapon/mythic, #e4b2c0
enchantment/family/weapon/rare, #cdc8b5
enchantment/family/weapon/uncommon, #cdcc9e
food/common_energy, #ca6b54
food/common_life, #d9685b
food/common_magic, #ed5e5e
food/common_mana, #ffde33
food/epic_energy, #ca6b54
food/epic_life, #d9685b
food/epic_magic, #ed5e5e
food/epic_mana, #ffde33
food/legendary_energy, #ca6b54
food/legendary_life, #d9685b
food/legendary_magic, #ed5e5e
food/legendary_mana, #ffde33
food/mythic_energy, #ca6b54
food/mythic_life, #d9685b
food/mythic_magic, #ed5e5e
food/mythic_mana, #ffde33
food/rare_energy, #ca6b54
food/rare_life, #d9685b
food/rare_magic, #ed5e5e
food/rare_mana, #ffde33
food/uncommon_energy, #ca6b54
food/uncommon_life, #d9685b
food/uncommon_magic, #ed5e5e
food/uncommon_mana, #ffde33
gems/amethyst/0, #9a3ed7
gems/amethyst/1, #aa43e7
gems/amethyst/2, #be50f7
gems/amethyst/3, #c050fb
gems/amethyst/4, #cd5cff
gems/amethyst/5, #c957ff
gems/amethyst/6, #cf5bff
gems/azurite/0, #58b6ae
gems/azurite/1, #5ac3be
gems/azurite/2, #69d9cc
gems/azurite/3, #69dccf
gems/azurite/4, #79e7dc
gems/azurite/5, #72e4d9
gems/azurite/6, #76eade
gems/emerald/0, #329b66
gems/emerald/1, #34a76b
gems/emerald/2, #41b972
gems/emerald/3, #40bc72
gems/emerald/4, #4dc87d
