// Compost colors for toughasnails. You may add your own colors, change existing ones, or remove colors that aren't needed.
apple_juice, #ffffd4
cactus_juice, #b2ebae
charc_os, #6e4d1c
chorus_fruit_juice, #d2bfff
copper_dirty_water_canteen, #d0693c
copper_purified_water_canteen, #cf6e44
copper_water_canteen, #cd6841
diamond_dirty_water_canteen, #57d0af
diamond_purified_water_canteen, #55d4b6
diamond_water_canteen, #55cfb4
dirty_water_bottle, #9eb4be
empty_copper_canteen, #cc6137
empty_diamond_canteen, #4acab4
empty_gold_canteen, #f2c53e
empty_iron_canteen, #9b9b9d
empty_leather_canteen, #6f472d
empty_netherite_canteen, #504447
glow_berry_juice, #ffff9d
gold_dirty_water_canteen, #f1bf41
gold_purified_water_canteen, #f0c548
gold_water_canteen, #f0be47
ice_cream, #cdcdaf
iron_dirty_water_canteen, #9e9ea0
iron_purified_water_canteen, #9da2a8
iron_water_canteen, #9d9da5
leaf_boots, #aba8ab
leaf_chestplate, #afacaf
leaf_helmet, #a7a4a7
leaf_leggings, #acaaac
leather_dirty_water_canteen, #7a5437
leather_purified_water_canteen, #795a3e
leather_water_canteen, #78523c
melon_juice, #ffacc3
netherite_dirty_water_canteen, #554a4b
netherite_purified_water_canteen, #544e52
netherite_water_canteen, #544851
pumpkin_juice, #ffd6c3
purified_water_bottle, #94d9fb
sweet_berry_juice, #c0769d
tan_icon, #94907f
wool_boots, #d7d7d7
wool_chestplate, #ffffff
wool_helmet, #a09e9d
wool_leggings, #d0d0d0
